name,etopfun_price,tradeit_price,swap_price,loot_price,recommend,buff_price,empire_price
★ Stiletto Knife | Ultraviolet (Field-Tested),356.64,368.81,332.99,370.94,loot,1091.00,245.66
★ Moto Gloves | Polygon (Field-Tested),283.61,295.58,251.84,305.38,loot,898.18,202.24
StatTrak™ M4A4 | Temukau (Minimal Wear),247.38,249.16,227.11,272.65,loot,801.91,180.56
★ Stiletto Knife | Safari Mesh (Battle-Scarred),243.97,249.80,185.49,222.43,tradeit,734.71,165.43
★ Ursus Knife | Stained (Well-Worn),214.6,201.43,198.80,232.39,loot,683.50,153.90
★ Ursus Knife | Ultraviolet (Battle-Scarred),208.63,216.29,165.87,228.37,loot,671.68,151.24
★ Classic Knife | Forest DDPAT (Field-Tested),199.19,200.63,170.60,203.48,loot,598.47,134.75
★ Classic Knife | Forest DDPAT (Battle-Scarred),198.53,194.65,128.09,176.48,etopfun,583.91,131.48
★ Gut Knife | Bright Water (Factory New),190.3,196.31,183.97,187.09,tradeit,577.38,130.01
★ Ursus Knife | Scorched (Field-Tested),177.78,170.37,152.14,190.29,loot,559.68,126.02
★ Broken Fang Gloves | Jade (Field-Tested),175.24,185.49,159.15,190.77,loot,561.09,126.34
★ Paracord Knife | Scorched (Field-Tested),150.92,150.99,122.37,165.82,loot,487.71,109.81
★ Gut Knife | Ultraviolet (Field-Tested),146.8,147.72,126.91,156.26,loot,459.59,103.48
★ Moto Gloves | 3rd Commando Company (Field-Tested),108.8,104.94,101.82,121.50,loot,357.35,80.46
★ Driver Gloves | Queen Jaguar (Well-Worn),107.87,107.68,91.80,112.70,swap,270.00,60.79
StatTrak™ AWP | Duality (Factory New),102.7,109.10,97.68,112.16,swap,287.29,64.69
StatTrak™ SSG 08 | Dragonfire (Minimal Wear),68.85,69.30,62.40,69.42,loot,204.18,45.97
M4A4 | The Emperor (Minimal Wear),59.7,63.80,57.72,67.68,loot,199.06,44.82
The Elite Mr. Muhlik | Elite Crew,4.99,6.49,5.73,6.00,tradeit,19.09,4.30
USP-S | Cortex (Field-Tested),3.08,3.32,2.96,3.60,loot,10.59,2.38
短剑（★） | 都市伪装 (战痕累累),254.19,0,0,0,etopfun,747.62,168.34
M4A4（StatTrak™） | 反冲精英 (略有磨损),247.38,0,0,0,etopfun,727.59,163.83
流浪者匕首（★） | 枯焦之色 (破损不堪),217.01,0,0,0,etopfun,638.26,143.72
熊刀（★） | 人工染色 (破损不堪),214.6,0,0,0,etopfun,631.18,142.12
流浪者匕首（★） | 狩猎网格 (破损不堪),213.64,0,0,0,etopfun,628.35,141.48
熊刀（★） | 致命紫罗兰 (战痕累累),208.63,0,0,0,etopfun,613.62,138.17
海豹短刀（★） | 森林 DDPAT (战痕累累),198.53,0,0,0,etopfun,583.91,131.48
熊刀（★） | 枯焦之色 (久经沙场),177.78,0,0,0,etopfun,522.88,117.74
暗影双匕（★） | 致命紫罗兰 (略有磨损),171.97,0,0,0,etopfun,505.79,113.89
熊刀（★） | 狩猎网格 (战痕累累),169.84,0,0,0,etopfun,499.53,112.48
求生匕首（★） | 北方森林 (久经沙场),153.0,0,0,0,etopfun,450.00,101.32
穿肠刀（★） | 致命紫罗兰 (久经沙场),146.8,0,0,0,etopfun,431.76,97.22
裹手（★） | 云杉 DDPAT (久经沙场),146.5,0,0,0,etopfun,430.88,97.02
暗影双匕（★） | 澄澈之水 (久经沙场),134.93,0,0,0,etopfun,396.85,89.36
摩托手套（★） | 第三特种兵连 (久经沙场),108.8,0,0,0,etopfun,320.00,72.05
P90 | 冷血杀手 (崭新出厂),106.31,0,0,0,etopfun,312.68,70.40
AWP（StatTrak™） | 金粉肆蛇 (崭新出厂),102.7,0,0,0,etopfun,302.06,68.01
摩托手套（★） | 嘭！ (久经沙场),525.85,0,0,0,etopfun,1546.62,348.25
短剑（★） | 北方森林 (略有磨损),293.1,0,0,0,etopfun,862.06,194.11
M4A4（StatTrak™） | 反冲精英 (略有磨损),247.38,0,0,0,etopfun,727.59,163.83
熊刀（★） | 致命紫罗兰 (战痕累累),208.63,0,0,0,etopfun,613.62,138.17
海豹短刀（★） | 森林 DDPAT (久经沙场),199.19,0,0,0,etopfun,585.85,131.91
系绳匕首（★） | 北方森林 (略有磨损),196.66,0,0,0,etopfun,578.41,130.24
熊刀（★） | 枯焦之色 (久经沙场),177.78,0,0,0,etopfun,522.88,117.74
求生匕首（★） | 北方森林 (略有磨损),170.65,0,0,0,etopfun,501.91,113.01
熊刀（★） | 狩猎网格 (战痕累累),169.84,0,0,0,etopfun,499.53,112.48
求生匕首（★） | 夜色 (战痕累累),164.9,0,0,0,etopfun,485.00,109.21
求生匕首（★） | 北方森林 (久经沙场),153.0,0,0,0,etopfun,450.00,101.32
穿肠刀（★） | 致命紫罗兰 (久经沙场),146.8,0,0,0,etopfun,431.76,97.22
法玛斯 | 奈芙蒂斯之河 (久经沙场),137.05,0,0,0,etopfun,403.09,90.76
折刀（★） | 狩猎网格 (久经沙场),118.36,0,0,0,etopfun,348.12,78.38
摩托手套（★） | 第三特种兵连 (久经沙场),108.8,0,0,0,etopfun,320.00,72.05
P250 | 阿佩普之咒 (破损不堪),107.74,0,0,0,etopfun,316.88,71.35
P250 | 阿佩普之咒 (破损不堪),107.74,0,0,0,etopfun,316.88,71.35
P250 | 阿佩普之咒 (破损不堪),107.74,0,0,0,etopfun,316.88,71.35
P250 | 阿佩普之咒 (破损不堪),107.74,0,0,0,etopfun,316.88,71.35
P250 | 阿佩普之咒 (破损不堪),107.74,0,0,0,etopfun,316.88,71.35
AWP（StatTrak™） | 金粉肆蛇 (崭新出厂),102.7,0,0,0,etopfun,302.06,68.01
SSG 08（StatTrak™） | 炎龙之焰 (略有磨损),68.85,0,0,0,etopfun,202.50,45.60
M4A4 | 皇帝 (略有磨损),59.7,0,0,0,etopfun,175.59,39.54
CZ75 自动手枪 | 梅红时刻 (略有磨损),54.31,0,0,0,etopfun,159.74,35.97
★ Stiletto Knife | Ultraviolet (Field-Tested),356.64,368.81,332.99,370.94,loot,1091.00,245.66
★ Moto Gloves | Polygon (Field-Tested),283.61,295.58,251.84,305.38,loot,898.18,202.24
★ Stiletto Knife | Scorched (Field-Tested),257.18,252.10,220.62,250.21,etopfun,756.41,170.32
★ Falchion Knife | Bright Water (Minimal Wear),205.47,231.89,182.24,222.84,tradeit,682.03,153.57
★ Classic Knife | Forest DDPAT (Field-Tested),199.19,200.63,170.60,203.48,loot,598.47,134.75
★ Classic Knife | Forest DDPAT (Battle-Scarred),198.53,194.65,128.09,176.48,etopfun,583.91,131.48
★ Gut Knife | Ultraviolet (Minimal Wear),188.44,210.56,163.22,204.46,tradeit,619.29,139.44
★ Ursus Knife | Scorched (Field-Tested),177.78,170.37,152.14,190.29,loot,559.68,126.02
★ Paracord Knife | Scorched (Minimal Wear),172.11,170.40,153.63,187.05,loot,550.15,123.87
★ Ursus Knife | Safari Mesh (Battle-Scarred),169.84,171.51,122.95,133.07,tradeit,504.44,113.58
★ Gut Knife | Freehand (Field-Tested),159.01,163.95,138.61,174.76,loot,514.00,115.74
★ Survival Knife | Boreal Forest (Field-Tested),153.0,143.10,134.27,165.98,loot,488.18,109.92
★ Survival Knife | Forest DDPAT (Field-Tested),150.18,143.66,141.45,168.68,loot,496.12,111.71
★ Gut Knife | Ultraviolet (Field-Tested),146.8,147.72,126.91,156.26,loot,459.59,103.48
★ Hand Wraps | Spruce DDPAT (Field-Tested),146.5,151.49,129.79,151.81,loot,446.50,100.54
★ Survival Knife | Safari Mesh (Battle-Scarred),145.95,142.95,122.36,143.62,etopfun,429.26,96.66
StatTrak™ AWP | Duality (Factory New),102.7,109.10,97.68,112.16,swap,287.29,64.69
★ Hand Wraps | Desert Shamagh (Battle-Scarred),85.42,88.74,74.71,90.55,loot,266.32,59.97
StatTrak™ AK-47 | Asiimov (Field-Tested),84.03,88.76,77.95,95.22,loot,280.06,63.06
StatTrak™ USP-S | Ticket to Hell (Factory New),13.88,19.52,14.98,17.56,tradeit,57.41,12.93
StatTrak™ M4A1-S | Night Terror (Factory New),11.45,17.38,13.50,15.36,tradeit,51.12,11.51
